req_tag,distinct_IDs
struc2lammpsdf_r68,5
tedev,5
tidystem,5
tunnelfet,5
vkmlsd,5
vkmlsd3d,5
xrdinteract,5
1242,4
14139,4
15167,4
19427,4
1dhetero_r742,4
21854,4
22577,4
22854,4
24593,4
2464,4
2925,4
30334,4
30791,4
31004,4
31056,4
31858,4
33863,4
34585,4
35147,4
3982,4
4875,4
5223,4
acute,4
arbd,4
avalanche,4
bayesopt_r21,4
berkeleygw_r78,4
bhjmorphology,4
biolabisfet_r35,4
biomoca,4
ccamt,4
chm37301_r4,4
cntphonons,4
cond3d,4
contourpv,4
devrel,4
dftmatprop_r62,4
dftqe_r111,4
dimredmatdecmp,4
exdynamics,4
fettoy_r41,4
fiona,4
fpuf,4
gas,4
grapheneswitch,4
gscompaction,4
handsonpinns_r13,4
htworkspace,4
iavmodule,4
jupyter44,4
kronigpenneylab_r13,4
lantrap2,4
matsimtk_r68,4
mcdna,4
mdshowcase,4
memscreep,4
meshgenmic,4
mixedgasdiff,4
molctoy,4
molspec,4
mosfet2sat,4
nanofilm,4
neursynch,4
nselectrostatic,4
nsmmaster,4
oommfnotebooks,4
orcatool_r33,4
pc4cancerbots,4
photonicvasefit,4
pipeline,4
pnndemo,4
purdueme323,4
quamc2d,4
romdegradation_r39,4
semidop_r16,4
spectraesrabs,4
submit,4
teg,4
temlattice,4
testgain0d,4
tpvtest,4
vachecker,4
vides_r65,4
1035,3
19463,3
202,3
212,3
21363,3
21919,3
220,3
221,3
26057,3
2704,3
27577,3
2815,3
28586,3
2dreflect_r44,3
32625,3
32730,3
34334,3
34417,3
34992,3
35191,3
35394,3
3692,3
3984,3
451,3
4826,3
7301,3
adac,3
adept,3
ads2009,3
advte_r15,3
annihilate,3
barefoot,3
batteryopt,3
bhjmorphology_r103,3
biophotonicsim_r11,3
blockchain,3
breakdowncal7,3
bsvirdcovid19mo,3
cadnanocvrt,3
capsidsouffle,3
cc3dbactmacro,3
cenems,3
cnc,3
cndo,3
cntfet_r68,3
cntmob_r44,3
cntnemscant_r7,3
compfilsim3d_r37,3
comphe,3
covid19analysis_r22,3
coviddrugexp,3
covidvaccinemod_r17,3
ctfet_r10,3
cvgraph_r26,3
ddscatshapegene,3
deletefolder,3
dftqeexplorer,3
fbsdcme,3
fdm4tp,3
fin,3
grisp,3
hofpred,3
htoxideprop,3
illustmath,3
imagej,3
iu399sp19p101,3
jfetlab_r13,3
jmoltool,3
kpnanofet,3
laserdyn,3
legogen,3
lorentzfit,3
matdatarepo_r17,3
mcpt,3
memsoscnet,3
mlatomprop,3
msl_r12,3
mstaracademic,3
multiscaletec,3
nanoarray,3
nanobind,3
nanobiophotsim,3
nanossl,3
nbas,3
nccpf_r25,3
ncevol,3
npshortbasedda,3
nusimm_r883,3
nwabsorption_r28,3
omenwire_r144,3
opticslab,3
pc4tumor3d,3
pc4tumorhypoxia,3
prolabcdd_r14,3
pslsim,3
pumet,3
qcrf4photo_r9,3
qdotjupyter,3
qdotled,3
reorder,3
resistorcode,3
samis,3
sandp,3
sfe,3
shakefracture,3
solarpv,3
sugarcubecad,3
sugartangcd,3
tddb,3
tpl_r26,3
veda_r1451,3
virion2response,3
vkmlggs,3
vsepr,3
1091,2
10917,2
11073,2
14838,2
14929,2
1497,2
17924,2
1879,2
1881,2
18845,2
19193,2
19540,2
1dphononbte_r9,2
22366,2
22509,2
22562,2
22983,2
23272,2
26872,2
27771,2
28192,2
28714,2
29150,2
29517,2
29570,2
29968,2
2dmatstacks_r36,2
30961,2
31710,2
3363,2
34223,2
34457,2
34817,2
34948,2
35339,2
3942,2
3datomsmodel,2
5203,2
5222,2
5603,2
7516,2
7598,2
9924,2
abase,2
amidespec_r6,2
appapi,2
ase,2
biolab_r64,2
breakcalc1,2
btesolver_r41,2
cc3dcellsort3d,2
cc3dcovid19_r55,2
cc3dwf,2
cc3dwfdrain,2
cgtb,2
cnegfmos_r16,2
cntbte_r25,2
compcatal_r29,2
compnano,2
compucell3d_r13,2
crackpropsim,2
dbrlaser_r5,2
dda_r249,2
deviceelectron_r21,2
diffusionhcp,2
dopingsilicon_r11,2
dsmc0d,2
electromat_r44,2
engdata,2
fibpredictor,2
funuq,2
gibbsads,2
githubexample,2
githubpublic,2
gitlocalrapptur,2
gitlocaltool,2
gnrinterconnect_r12,2
graft_r178,2
gsaimage_r28,2
henrycoeff,2
heterojunction,2
hyperrebo,2
impadder,2
iu399sp19p100,2
jupyter41,2
jupyter70_r2,2
kimexplorer,2
latticeprotein,2
lfmobility,2
mastmltutorial_r11,2
matlabmicroelec_dev,2
MCTrigate,2
meltheas_r33,2
mgbasic,2
mldefect_r10,2
mobiresis_r8,2
mot2ddemocc3d_r13,2
nanoenergytools_r68,2
nanoin,2
nanolammps,2
nanoplasticity,2
nanowire_r232,2
nhremote,2
nlattice,2
nmst_dft_r96,2
npassemblylab_r51,2
npshapelab_r211,2
nribench,2
nsmch6master,2
nsoptics3d_r18,2
nwldos,2
ohmslaw,2
omenhfet,2
oof2_r19,2
oommf_r12,2
opt,2
optodet,2
pc1d,2
periodicpot_r21,2
phcband,2
photonicsrt_r66,2
piezoharvest_r38,2
polymerwfnb,2
predicts2d_r18,2
projectile,2
prolaboxflux,2
purduemse270_r23,2
pvanalyzer_r6,2
pxcm,2
qdotjuptest,2
qpc,2
r2roptimizer,2
resist,2
rtdnegf_r377,2
sandbox2d,2
sbcnfet_r30,2
schred_r88,2
semi_r55,2
sha2d_r138,2
smoot_r53,2
solidifpure,2
st4pnjunction,2
stick2d,2
straincalc_r10,2
stretchfcc,2
sugar_r47,2
surfacearea,2
surfevolvergui,2
tcellproject,2
tcnt_r25,2
thermomechcnt,2
trmechanics,2
vb6dosenumber,2
viscoindent,2
woundhealingpc,2
xpsts_r23,2
yeastlab,2
10046,1
1090,1
1092,1
11006,1
11161,1
11322,1
11396,1
11406,1
11431,1
11976,1
11983,1
12187,1
12273,1
12697,1
1309,1
13209,1
13801,1
13976,1
14266,1
14316,1
14700,1
14816,1
15162,1
1647,1
17279,1
18181,1
18271,1
18570,1
18604,1
18680,1
18704,1
18771,1
18774,1
18912,1
18973,1
19083,1
19388,1
19473,1
19749,1
1dmd,1
1sl,1
20192,1
20593,1
21144,1
21261,1
21331,1
21795,1
21844,1
22351,1
22484,1
22758,1
22858,1
230,1
23531,1
23829,1
24027,1
24924,1
2531,1
25473,1
2607,1
2658,1
26608,1
26612,1
27236,1
27237,1
27262,1
27658,1
27691,1
27709,1
27892,1
27972,1
28485,1
28506,1
29056,1
29148,1
2920,1
2954,1
29716,1
30193,1
30341,1
30368,1
30408,1
30410,1
31101,1
31353,1
31705,1
32310,1
3288,1
3307,1
33186,1
33470,1
33550,1
33614,1
33642,1
33644,1
33830,1
33852,1
34242,1
34280,1
34328,1
34335,1
34359,1
34464,1
34483,1
34673,1
34809,1
34822,1
34883,1
35190,1
3798,1
3862,1
3981,1
3dmatopt,1
4136,1
4242,1
4963,1
5120,1
5121,1
5124,1
5126,1
5422,1
5602,1
6654,1
7342,1
7771,1
8136,1
9559,1
9914,1
9948,1
abase_r9,1
abinit_r159,1
acmenpds,1
activelearning,1
activemeltheas,1
adriene,1
advqdlab,1
aeneas,1
afmfcanalysis,1
agpvsim_r41,1
alissatesttool,1
angel_r50,1
angiogencc3d_r12,1
antsy_r15,1
apu,1
aqme_r14,1
archimedes_r71,1
aru,1
asegui,1
asetool,1
asilicon_r24,1
astarspin,1
avalanche_r13,1
avoidlearn,1
bandstriab,1
bandstrlab_r327,1
batteryopt_r7,1
beamprop,1
biconvex,1
biophet,1
biosensor,1
biosensorlab,1
bnsl,1
bor1,1
bowtie_r165,1
breakdowncal7_r13,1
bsclab_r52,1
bstr_sc_lab,1
bulkmc_r39,1
bulkmobility_r13,1
cadnanovis,1
calibdriver_r9,1
carrierconc_r12,1
cavitatesim,1
cc3dvasctumor_r3,1
cc3dwf_r18,1
cgmcc,1
cgmcc_r16,1
cgtb_r8,1
chm37301_dev,1
circuitelements_r4,1
clusterbgopro,1
cmtcomb3,1
cnc_r38,1
cnndiffusion,1
cntbands,1
complam_r35,1
computehydrogen,1
cond3d_r14,1
contourpv_r12,1
coulombsim_r20,1
crackprop,1
crmatomic,1
cscale,1
dakotacalibrate,1
dataexplorerlab,1
ddscat,1
ddsolarcell_r16,1
demons,1
diffanalyzer,1
diffusion2d,1
dpowj,1
drivergen,1
dsmc1d,1
dualfoil_r29,1
ecmsimul,1
efeff,1
effmasscalc,1
elconabinit,1
energy,1
enmsdatabase,1
ex2pnjunction,1
extremedb,1
fbsdcme_r33,1
fdical_r24,1
featureselect,1
fgmbuilder_r33,1
fibpredictor_r39,1
fibstream_r24,1
fifaviz,1
fin_r2,1
fishandriver,1
fishbackprop,1
gbdiffusion,1
gdsim,1
gfettool_r71,1
gnor,1
gprpiezo,1
gptool,1
gptool_r9,1
gpuheompop_r37,1
graphenebattery,1
grisp_r35,1
gscan_r38,1
harshad,1
hcius,1
hertzindent,1
hipressdftjup,1
hotspice,1
htoxideprop_r9,1
hydrogenenergy,1
hydrolab,1
hypoxia19,1
imagesegment_r19,1
immunesys2ode,1
impadder_r6,1
indentation,1
index.php,1
iu399sp19p101_r8,1
jamming,1
jmoltool_r14,1
jupiter,1
jupyter60_r4,1
jupyterdev,1
jupytermanual,1
lammpsdid,1
lantrap_r11,1
learngit,1
mage_r9,1
magicafm,1
matlab2021a,1
matlabrad_r3,1
matrix2surface_r10,1
mavelp_r85,1
mcdna_r11,1
mdanalysis_r58,1
mde,1
mdsim_r28,1
mdvacancy,1
meep_r37,1
meeppv_r17,1
meltheas_dev,1
meltrccas_dev,1
